地址,名称,维度,经度,类型
,银城花园(公交站),32.053570,118.730606,公交站
,迈皋桥东(公交站),32.102596,118.811482,公交站
,东水关(公交站),32.021889,118.800407,公交站
,南湖路·沿河村(公交站),32.025284,118.755081,公交站
,象房村西路(公交站),32.022354,118.803032,公交站
,江东中路·江东门北街(公交站),32.038067,118.738403,公交站
,鼓教二村(公交站),32.046841,118.732628,公交站
,典雅居(公交站),32.039761,118.737015,公交站
,标营(公交站),32.028976,118.816521,公交站
,天妃宫小学(公交站),32.092098,118.738976,公交站
,东升村(公交站),32.023781,118.756790,公交站
,迈皋桥广场(公交站),32.104515,118.809853,公交站
,金陵小区(公交站),32.108242,118.764320,公交站
,集庆门大街·南湖路(公交站),32.025139,118.753777,公交站
,樱花路(公交站),32.082550,118.832779,公交站
,殷高巷(公交站),32.018524,118.776299,公交站
,水西门大街·江东门(公交站),32.034508,118.740776,公交站
,南湖集贸市场(公交站),32.022205,118.760117,公交站
,金陵世纪花园(公交站),32.042049,118.734444,公交站
,北苑新村南(公交站),32.099007,118.819351,公交站
,集庆门大街·湖西街(公交站),32.026031,118.751541,公交站
,集庆门(公交站),32.018768,118.772392,公交站
,东宝路·锦江路(公交站),32.043079,118.733536,公交站
,湖西街(公交站),32.027477,118.748914,公交站
,方家营(公交站),32.102356,118.749977,公交站
,市第一医院(公交站),32.017910,118.785385,公交站
,中山码头(公交站),32.087654,118.734337,公交站
,梅花谷西门(公交站),32.045670,118.833061,公交站
,五塘村东(公交站),32.111534,118.780365,公交站
,七里街(公交站),32.019814,118.799774,公交站
,浦江路·汉中门大街(公交站),32.040596,118.734489,公交站
,福园街(公交站),32.031910,118.742249,公交站
,东宝路(公交站),32.043095,118.732826,公交站
,文体路·集庆门大街(公交站),32.022137,118.758011,公交站
,江东中路·水西门大街(公交站),32.035725,118.738251,公交站
,五佰村(公交站),32.111675,118.787102,公交站
,解放南路南站(公交站),32.023266,118.809547,公交站
,武定桥(公交站),32.017349,118.786743,公交站
,中华路·长乐路(公交站),32.017136,118.783073,公交站
,长营村(公交站),32.103065,118.815163,公交站
,凤台路·集庆门(公交站),32.018757,118.767654,公交站
,育才公寓(公交站),32.046082,118.730675,公交站
,华电路(公交站),32.104969,118.812080,公交站
,胡家花园(公交站),32.017426,118.774651,公交站
,沿河村南站(公交站),32.026325,118.748779,公交站
,彩虹苑(公交站),32.020302,118.761230,公交站
,集庆门大桥西(公交站),32.019447,118.763779,公交站
,卫桥(公交站),32.039207,118.830231,公交站
,樱驼花园(公交站),32.084488,118.833733,公交站
,钓鱼台(公交站),32.016659,118.779579,公交站
,白云新寓(公交站),32.112213,118.775703,公交站
,象房村(公交站),32.021317,118.807014,公交站
,东宝路总站(公交站),32.043137,118.731659,公交站
,光华门(公交站),32.023716,118.812294,公交站
,云锦路(公交站),32.029552,118.743309,公交站
,旭日景城(公交站),32.112804,118.785286,公交站
,白鹭花园(公交站),32.028015,118.745049,公交站
,江边路·建宁路(公交站),32.091450,118.734917,公交站
,集庆门大街东(公交站),32.018112,118.765686,公交站
,宝塔桥(公交站),32.103245,118.747467,公交站
,江东万达广场(公交站),32.032486,118.739067,公交站
,北苑一村(公交站),32.102100,118.819344,公交站
,光华门北(公交站),32.024841,118.816063,公交站
